Task_id,1,1,2,2,1,2,1,2
Metric,Speedup,Efficiency,Speedup,Efficiency,Iso-efficiency,Iso-efficiency,Sequential Fraction,Sequential Fraction
"nodes = 2, thread = 2",1.142,0.571,1.265,0.632,,,0.45,0.55
"nodes = 2, thread = 4",1.156,0.578,1.268,0.634,,,0.45,0.55
"nodes = 2, thread = 8",1.174,0.587,1.272,0.636,,,0.45,0.55
"nodes = 4, thread = 2",1.302,0.325,1.555,0.389,,,0.45,0.55
"nodes = 4, thread = 4",1.312,0.328,1.561,0.391,,,0.45,0.55
"nodes = 4, thread = 8",1.316,0.329,1.565,0.391,,,0.45,0.55
"nodes = 8, thread = 2",1.318,0.164,1.672,0.203,,,0.45,0.55
"nodes = 8, thread = 4",1.328,0.332,1.678,0.209,,,0.45,0.55
"nodes = 8, thread = 8",1.332,0.333,1.682,0.211,,,0.45,0.55
